query,seller_name,seller_id,rate
màn rèm,ODA CURTAIN,421,0.6785714285714286
rèm cửa xổ,ODA CURTAIN,421,0.67597765363128492
rèm cửa chống nắng,ODA CURTAIN,421,0.67588932806324109
rèm,ODA CURTAIN,421,0.67121478873239437
rèm cửa trơn,ODA CURTAIN,421,0.66572237960339942
mành cửa,ODA CURTAIN,421,0.66492146596858637
rèm cửa,ODA CURTAIN,421,0.66343042071197411
nệm nhật bản,ODA CURTAIN,421,0.66101694915254239
rèm cửa màu trắng,ODA CURTAIN,421,0.65853658536585369
màn rèm cửa sổ,ODA CURTAIN,421,0.65789473684210531
cindydrella,PRINCESS,426,1.0
tôm khô,Thuần Nhất,428,0.72025723472668812
a91,A91 JEANS,437,0.94764397905759157
a91 jeans,A91 JEANS,437,0.92690058479532167
eropi,EROPI,438,0.9907407407407407
ngọc trai thật,EROPI,438,0.76595744680851063
ngọc trai eropi,EROPI,438,0.68627450980392157
ba lo praza,Praza,440,0.815
túi praza,Praza,440,0.81060606060606055
praza,Praza,440,0.77442002442002444
balo praza,Praza,440,0.70854591836734693
giày slip on tuvi's,Giày Tuvi’s,442,0.92537313432835822
tuvi’s,Giày Tuvi’s,442,0.92105263157894735
tuvi,Giày Tuvi’s,442,0.89937106918239
giay vlip on,Giày Tuvi’s,442,0.8910891089108911
giay tuvi,Giày Tuvi’s,442,0.840937114673243
tuvis,Giày Tuvi’s,442,0.82971800433839482
giày tuvi's,Giày Tuvi’s,442,0.81041666666666667
tuvi's,Giày Tuvi’s,442,0.79355343860107008
giày tuvi,Giày Tuvi’s,442,0.76865671641791045
shop an thuy,Fashion An Thủy,443,1.0
ao an thuy,Fashion An Thủy,443,1.0
shop an thủy,Fashion An Thủy,443,1.0
đầm an thuỷ,Fashion An Thủy,443,1.0
fashion an thuy,Fashion An Thủy,443,1.0
đầm an thủy,Fashion An Thủy,443,0.9932432432432432
ao dam an thuy,Fashion An Thủy,443,0.99259259259259258
an thủy fashion,Fashion An Thủy,443,0.99045346062052508
an thủy,Fashion An Thủy,443,0.9859154929577465
áo an thuỷ,Fashion An Thủy,443,0.97882352941176476
áo kiểu an thuỷ,Fashion An Thủy,443,0.97142857142857142
dam  an thuy,Fashion An Thủy,443,0.968421052631579
an thuy,Fashion An Thủy,443,0.96642685851318944
an thuy dam,Fashion An Thủy,443,0.95815899581589958
ao thun keu be 5 tuoi,Fashion An Thủy,443,0.95454545454545459
áo an thủy,Fashion An Thủy,443,0.92079207920792083
thoi trang an thuy,Fashion An Thủy,443,0.7890625
thoi trang an thuy đầm,Fashion An Thủy,443,0.76449275362318836
dam theu an thuy,Fashion An Thủy,443,0.68150684931506844
sulily,Sulily,444,1.0
giầy sulily,Sulily,444,0.71386430678466073
premi3r,PREMI3R,454,1.0
nón premi3r,PREMI3R,454,1.0
cotton candy,PREMI3R,454,0.97959183673469385
fitis,Fitis,455,0.7914831130690162
giày sandal nam everest,Everest,457,1.0
set đồ the thao,Everest,457,1.0
giay da nam everest,Everest,457,1.0
thời trang everest,Everest,457,1.0
giày tây nam công sở everest,Everest,457,1.0
dép sỏ ngón siêu nhẹ,Everest,457,1.0
áo màu cam nam,Everest,457,0.98728813559322037
sandal nam everest,Everest,457,0.97142857142857142
áo thun nữ everest,Everest,457,0.97058823529411764
dép kẹp nam thời trang,Everest,457,0.91489361702127658
everest áo,Everest,457,0.89378238341968907
dép kẹp nam tommy,Everest,457,0.87378640776699024
sandal everest,Everest,457,0.8529411764705882
áo thun nam màu cam trơn,Everest,457,0.85142857142857142
áo thun nam everest,Everest,457,0.83333333333333337
giày sabo,Everest,457,0.80090497737556565
áo thun nam màu cam,Everest,457,0.77551020408163263
quần thun nữ dài màu trắng,Everest,457,0.76923076923076927
everest,Everest,457,0.74643536121673
dép nam cấp 3 đẹp 2019,Everest,457,0.73770491803278693
áo cam nam,Everest,457,0.70796460176991149
giày thời trang sandal nam,Everest,457,0.67586206896551726
sabo,Everest,457,0.67289719626168221
quần lót nam everest,Everest,457,0.66666666666666663
ao youtube,Everest,457,0.660377358490566
light coffee,Kim Cương Xanh,458,0.93388429752066116
cacao sữa,Kim Cương Xanh,458,0.67391304347826086
mặt nạ rau má,Lamy Shop,459,0.73156342182890854
áo sơ mi nam tay ngắn vfashion,Vfashion,461,0.66141732283464572
dây quấn ghi đông,Sportslink,464,0.95604395604395609
đồ bộ bóng rổ cp sport trẻ em bull 23,Sportslink,464,0.90740740740740744
đồ mặc nhà trẻ em,Sportslink,464,0.90740740740740744
bộ đồ bóng rổ trẻ em cpsports sportslink (đỏ) - size 5,Sportslink,464,0.90740740740740744
sports bra wear workout,Sportslink,464,0.88961038961038963
dây quấn ghi đông xe đạp,Sportslink,464,0.8666666666666667
bra tap the thao,Sportslink,464,0.8571428571428571
đồ bộ trẻ em,Sportslink,464,0.81666666666666665
bộ đồ bóng rổ trẻ em,Sportslink,464,0.80327868852459017
bộ đồ bóng rổ trẻ em,Sportslink,464,0.80327868852459017
đồ bóng rổ trẻ em,Sportslink,464,0.79891304347826086
đồ đá banh nam giá rẻ,Sportslink,464,0.77092511013215859
bo do thu mon,Sportslink,464,0.77005347593582885
áo đá banh the thao,Sportslink,464,0.76635514018691586
bộ đồ bóng rổ trẻ em cp sports,Sportslink,464,0.75384615384615383
đồ đá banh thủ môn,Sportslink,464,0.7425373134328358
banh đá,Sportslink,464,0.719626168224299
bộ đồ thủ môn,Sportslink,464,0.68824940047961636
đồ đá,Sportslink,464,0.6875
supersports,Sportslink,464,0.68717948717948718
đồ đá banh cpsport,Sportslink,464,0.683206106870229
bộ đồ thủ môn ml sports chuối chuối xám,Sportslink,464,0.68
bộ quần áo thủ môn,Sportslink,464,0.67729083665338641
đồ đá banh messi,Sportslink,464,0.6742424242424242
boomerang,WinwinShop 88,467,0.74924471299093653
tạp chí pi,Tạp Chí Pi,469,0.78613199665831246
sutumi,Aqua Sportswear,475,1.0
slip on nữ sutumi,Aqua Sportswear,475,1.0
giày sutumi,Aqua Sportswear,475,1.0
sneaker nữ sutumi,Aqua Sportswear,475,1.0
giày nam lip on,Aqua Sportswear,475,1.0
giầy sneaker nữ hồng,Aqua Sportswear,475,0.872093023255814
giày sutumi nam,Aqua Sportswear,475,0.79361179361179357
slip on unisex trắng,Aqua Sportswear,475,0.76576576576576572
adidas slip on,Aqua Sportswear,475,0.68627450980392157
